Province,AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
安徽,100.312500,75.250000,134.250000,34.169998,43.169998,1.060000,64.669998,2014-03-09

安徽,153.771423,117.639999,192.199997,45.230000,44.330002,1.410000,59.619999,2014-03-10

安徽,130.437500,99.349998,168.050003,40.939999,39.779999,1.160000,92.290001,2014-03-11

安徽,125.224998,95.180000,186.360001,47.610001,41.990002,1.190000,48.840000,2014-03-12

安徽,75.839996,52.959999,101.680000,51.049999,37.970001,0.940000,46.189999,2014-03-13

安徽,85.074997,55.770000,120.150002,28.350000,30.549999,0.880000,51.889999,2014-03-14

安徽,86.805000,49.090000,123.610001,25.740000,28.190001,0.980000,80.260002,2014-03-15

安徽,80.994995,57.130001,111.989998,32.720001,24.879999,0.950000,104.959999,2014-03-16

安徽,109.125000,82.300003,150.649994,36.480000,36.400002,1.210000,93.830002,2014-03-17

安徽,355.337494,109.779999,464.269989,72.150002,49.840000,1.500000,54.919998,2014-03-18

安徽,105.299995,79.239998,154.619995,51.959999,45.990002,1.360000,41.910000,2014-03-19

安徽,77.449997,53.230000,104.900002,43.220001,33.700001,0.900000,51.009998,2014-03-20

安徽,72.690002,40.080002,95.379997,30.480000,32.000000,0.890000,72.110001,2014-03-21

安徽,79.104996,52.549999,108.209999,29.090000,31.080000,1.100000,84.760002,2014-03-22

安徽,87.205002,59.139999,124.410004,38.520000,50.029999,1.160000,78.839996,2014-03-23

安徽,107.987503,81.389999,145.559998,39.110001,34.910000,1.310000,79.629997,2014-03-24

安徽,123.699997,93.959999,134.399994,33.130001,37.639999,1.560000,45.779999,2014-03-25

安徽,102.787506,77.230003,116.459999,30.090000,40.009998,1.890000,45.750000,2014-03-26

安徽,90.074997,67.059998,110.730003,35.090000,26.320000,1.210000,86.589996,2014-03-27

安徽,115.349998,87.279999,146.720001,34.779999,31.510000,1.390000,66.629997,2014-03-28

安徽,212.009995,162.009995,288.549988,70.070000,43.439999,1.670000,75.410004,2014-03-29

安徽,97.762497,73.209999,138.919998,46.320000,40.799999,1.230000,65.820000,2014-03-30

安徽,80.934998,55.860001,111.870003,31.850000,39.360001,1.030000,85.919998,2014-03-31

安徽,84.974998,60.810001,119.949997,32.169998,37.220001,1.090000,93.790001,2014-04-01

安徽,85.449997,63.360001,118.339996,29.740000,32.290001,1.040000,97.889999,2014-04-02

安徽,133.649994,101.919998,206.389999,53.080002,54.950001,1.750000,64.849998,2014-04-03

安徽,105.055000,70.129997,160.110001,33.130001,34.189999,1.080000,79.839996,2014-04-04

安徽,82.014999,36.770000,114.029999,30.920000,28.240000,0.900000,68.919998,2014-04-05

安徽,77.559998,37.439999,105.120003,27.320000,29.299999,0.810000,72.269997,2014-04-06

安徽,91.154999,53.360001,132.309998,33.689999,36.029999,1.090000,66.989998,2014-04-07

安徽,104.537498,78.629997,146.389999,30.520000,36.520000,1.340000,76.360001,2014-04-08

安徽,87.312500,64.849998,122.260002,27.750000,27.930000,1.160000,111.820000,2014-04-09

安徽,111.387497,84.110001,165.100006,39.220001,40.650002,1.500000,84.739998,2014-04-10

安徽,131.649994,100.320000,166.059998,45.189999,47.299999,1.340000,49.520000,2014-04-11

安徽,88.662498,65.930000,92.489998,27.670000,32.189999,1.210000,65.529999,2014-04-12

安徽,89.799995,66.839996,109.879997,34.270000,31.219999,1.480000,65.900002,2014-04-13

安徽,77.037498,56.630001,100.110001,22.430000,28.889999,1.060000,73.779999,2014-04-14

安徽,111.012497,83.809998,135.770004,31.990000,34.900002,1.100000,81.220001,2014-04-15

安徽,96.037506,71.830002,126.400002,45.540001,46.279999,1.120000,63.880001,2014-04-16

安徽,123.462494,93.769997,138.070007,29.170000,32.080002,1.350000,73.660004,2014-04-17

安徽,113.162498,85.529999,134.649994,37.340000,37.060001,1.230000,54.209999,2014-04-18

安徽,82.300003,60.840000,87.540001,29.049999,33.139999,1.270000,64.900002,2014-04-19

安徽,134.550003,102.639999,167.869995,36.400002,41.150002,1.720000,52.959999,2014-04-20

安徽,143.475006,109.779999,181.339996,42.080002,57.000000,1.720000,37.720001,2014-04-21

安徽,129.575012,98.660004,160.639999,25.889999,30.209999,1.330000,63.619999,2014-04-22

安徽,77.544998,53.560001,105.089996,23.330000,29.260000,1.120000,91.839996,2014-04-23

安徽,75.479996,48.470001,100.959999,30.510000,34.330002,0.970000,98.150002,2014-04-24

安徽,70.029999,50.700001,90.059998,28.340000,29.379999,1.050000,63.560001,2014-04-25

安徽,54.764999,38.520000,59.529999,20.190001,20.680000,1.030000,48.900002,2014-04-26

安徽,78.000000,57.400002,90.199997,23.170000,16.290001,0.860000,62.020000,2014-04-27

安徽,70.690002,48.509998,91.379997,37.619999,26.950001,0.990000,83.080002,2014-04-28

安徽,86.705002,63.160000,123.410004,37.150002,40.860001,1.060000,79.669998,2014-04-29

安徽,93.050003,61.389999,136.100006,36.279999,31.620001,1.170000,102.959999,2014-04-30

安徽,91.635002,61.590000,133.270004,26.030001,20.670000,1.100000,94.480003,2014-05-01

安徽,102.260002,37.400002,154.520004,18.370001,14.400000,0.800000,75.309998,2014-05-02

安徽,83.540001,32.840000,117.080002,22.500000,23.549999,1.060000,87.190002,2014-05-03

安徽,85.074997,39.689999,120.150002,25.030001,16.230000,0.890000,76.760002,2014-05-04

安徽,70.610001,37.570000,91.220001,15.180000,21.170000,1.000000,81.980003,2014-05-05

安徽,85.775002,38.900002,121.550003,19.480000,18.440001,0.980000,105.660004,2014-05-06

安徽,83.089996,52.509998,116.180000,24.719999,22.080000,0.900000,114.830002,2014-05-07

安徽,104.529999,75.959999,159.059998,49.320000,39.610001,1.290000,103.660004,2014-05-08

安徽,80.184998,48.970001,110.370003,28.639999,23.900000,0.860000,102.430000,2014-05-09

安徽,56.120003,32.389999,62.240002,23.450001,25.290001,0.910000,57.820000,2014-05-10

安徽,46.930000,30.770000,46.930000,14.820000,11.020000,0.870000,82.489998,2014-05-11

安徽,71.904999,39.230000,93.809998,20.940001,18.799999,0.890000,87.610001,2014-05-12

安徽,68.759995,44.220001,87.519997,17.580000,16.490000,1.050000,105.680000,2014-05-13

安徽,84.915001,60.330002,119.830002,35.349998,18.879999,1.050000,97.459999,2014-05-14

安徽,78.630005,43.180000,107.260002,27.139999,21.770000,0.990000,85.970001,2014-05-15

安徽,79.070000,51.490002,108.139999,23.389999,19.040001,0.920000,102.230003,2014-05-16

安徽,100.950005,75.760002,132.610001,42.110001,19.760000,1.040000,121.470001,2014-05-17

安徽,110.574997,83.459999,150.399994,49.599998,31.490000,1.410000,116.510002,2014-05-18

安徽,117.125000,88.699997,141.339996,24.500000,16.500000,1.230000,95.410004,2014-05-19

安徽,99.287498,74.430000,145.960007,24.980000,18.870001,1.020000,115.599998,2014-05-20

安徽,103.662498,77.930000,152.649994,25.700001,24.219999,1.070000,124.339996,2014-05-21

安徽,109.962502,82.970001,158.690002,35.410000,26.639999,1.090000,151.589996,2014-05-22

安徽,84.354996,42.009998,118.709999,25.320000,18.030001,1.010000,132.330002,2014-05-23

安徽,57.799999,40.840000,65.599998,18.129999,19.950001,0.900000,58.119999,2014-05-24

安徽,109.674995,82.739998,142.639999,20.600000,17.340000,0.950000,81.339996,2014-05-25

安徽,122.040001,68.889999,194.080002,27.900000,26.830000,0.740000,104.839996,2014-05-26

安徽,135.985001,75.089996,221.970001,32.279999,22.389999,0.710000,121.940002,2014-05-27

